,,Scenario,Region,Variable,Type,Year, electricity-generation-2023 ,electricity-capacity-2023
200,QuebecGlobal Net-zeroUranium2020,Global Net-zero,Quebec,Uranium,Primary Fuel,2020, -   ,0
201,QuebecCanada Net-zeroWind2020,Canada Net-zero,Quebec,Wind,Primary Fuel,2020," 11,322.93 ",4362.57
202,QuebecCurrent MeasuresWind2020,Current Measures,Quebec,Wind,Primary Fuel,2020," 11,322.93 ",4362.57
203,QuebecGlobal Net-zeroWind2020,Global Net-zero,Quebec,Wind,Primary Fuel,2020," 11,322.93 ",4362.57
204,SaskatchewanCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Saskatchewan,Biomass / Geothermal,Primary Fuel,2020, 109.25 ,36
205,SaskatchewanCurrent MeasuresBiomass / Geothermal2020,Current Measures,Saskatchewan,Biomass / Geothermal,Primary Fuel,2020, 109.25 ,36
206,SaskatchewanGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Saskatchewan,Biomass / Geothermal,Primary Fuel,2020, 109.25 ,36
207,SaskatchewanCanada Net-zeroCoal & Coke2020,Canada Net-zero,Saskatchewan,Coal & Coke,Primary Fuel,2020," 8,169.14 ",1535
208,SaskatchewanCurrent MeasuresCoal & Coke2020,Current Measures,Saskatchewan,Coal & Coke,Primary Fuel,2020," 8,169.14 ",1535
209,SaskatchewanGlobal Net-zeroCoal & Coke2020,Global Net-zero,Saskatchewan,Coal & Coke,Primary Fuel,2020," 8,169.14 ",1535
210,SaskatchewanCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2020," 3,389.17 ",889.06
211,SaskatchewanCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2020," 3,389.17 ",889.06
212,SaskatchewanGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2020," 3,389.17 ",889.06
213,SaskatchewanCanada Net-zeroNatural Gas2020,Canada Net-zero,Saskatchewan,Natural Gas,Primary Fuel,2020," 10,914.03 ",1839.95
214,SaskatchewanCurrent MeasuresNatural Gas2020,Current Measures,Saskatchewan,Natural Gas,Primary Fuel,2020," 10,914.03 ",1839.95
215,SaskatchewanGlobal Net-zeroNatural Gas2020,Global Net-zero,Saskatchewan,Natural Gas,Primary Fuel,2020," 10,914.03 ",1839.95
216,SaskatchewanCanada Net-zeroOil2020,Canada Net-zero,Saskatchewan,Oil,Primary Fuel,2020, 1.02 ,16.955
217,SaskatchewanCurrent MeasuresOil2020,Current Measures,Saskatchewan,Oil,Primary Fuel,2020, 1.02 ,16.955
218,SaskatchewanGlobal Net-zeroOil2020,Global Net-zero,Saskatchewan,Oil,Primary Fuel,2020, 1.02 ,16.955
219,SaskatchewanCanada Net-zeroSolar2020,Canada Net-zero,Saskatchewan,Solar,Primary Fuel,2020, 32.03 ,64
220,SaskatchewanCurrent MeasuresSolar2020,Current Measures,Saskatchewan,Solar,Primary Fuel,2020, 32.03 ,64
221,SaskatchewanGlobal Net-zeroSolar2020,Global Net-zero,Saskatchewan,Solar,Primary Fuel,2020, 32.03 ,64
222,SaskatchewanCanada Net-zeroUranium2020,Canada Net-zero,Saskatchewan,Uranium,Primary Fuel,2020, -   ,0
223,SaskatchewanGlobal Net-zeroUranium2020,Global Net-zero,Saskatchewan,Uranium,Primary Fuel,2020, -   ,0
224,SaskatchewanCanada Net-zeroWind2020,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2020, 821.47 ,221.18
225,SaskatchewanCurrent MeasuresWind2020,Current Measures,Saskatchewan,Wind,Primary Fuel,2020, 821.47 ,221.18
226,SaskatchewanGlobal Net-zeroWind2020,Global Net-zero,Saskatchewan,Wind,Primary Fuel,2020, 821.47 ,221.18
227,YukonCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Yukon,Biomass / Geothermal,Primary Fuel,2020, 0.24 ,0.5
228,YukonCurrent MeasuresBiomass / Geothermal2020,Current Measures,Yukon,Biomass / Geothermal,Primary Fuel,2020, 0.24 ,0.5
229,YukonGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Yukon,Biomass / Geothermal,Primary Fuel,2020, 0.24 ,0.5
230,YukonCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Yukon,Hydro / Wave / Tidal,Primary Fuel,2020, 438.41 ,94.5
231,YukonCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Yukon,Hydro / Wave / Tidal,Primary Fuel,2020, 438.41 ,94.5
232,YukonGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Yukon,Hydro / Wave / Tidal,Primary Fuel,2020, 438.41 ,94.5
233,YukonCanada Net-zeroNatural Gas2020,Canada Net-zero,Yukon,Natural Gas,Primary Fuel,2020, 63.62 ,19.8
234,YukonCurrent MeasuresNatural Gas2020,Current Measures,Yukon,Natural Gas,Primary Fuel,2020, 63.62 ,19.8
235,YukonGlobal Net-zeroNatural Gas2020,Global Net-zero,Yukon,Natural Gas,Primary Fuel,2020, 63.62 ,19.8
236,YukonCanada Net-zeroOil2020,Canada Net-zero,Yukon,Oil,Primary Fuel,2020, 75.33 ,24.57
237,YukonCurrent MeasuresOil2020,Current Measures,Yukon,Oil,Primary Fuel,2020, 75.33 ,24.57
238,YukonGlobal Net-zeroOil2020,Global Net-zero,Yukon,Oil,Primary Fuel,2020, 75.33 ,24.57
239,YukonCanada Net-zeroSolar2020,Canada Net-zero,Yukon,Solar,Primary Fuel,2020, 0.12 ,0.044
240,YukonCurrent MeasuresSolar2020,Current Measures,Yukon,Solar,Primary Fuel,2020, 0.12 ,0.044
241,YukonGlobal Net-zeroSolar2020,Global Net-zero,Yukon,Solar,Primary Fuel,2020, 0.12 ,0.044
242,YukonCanada Net-zeroWind2020,Canada Net-zero,Yukon,Wind,Primary Fuel,2020, 1.08 ,0.81
243,YukonCurrent MeasuresWind2020,Current Measures,Yukon,Wind,Primary Fuel,2020, 1.08 ,0.81
244,YukonGlobal Net-zeroWind2020,Global Net-zero,Yukon,Wind,Primary Fuel,2020, 1.08 ,0.81
245,AlbertaCanada Net-zeroBiomass / Geothermal2021,Canada Net-zero,Alberta,Biomass / Geothermal,Primary Fuel,2021," 1,793.58 ",285.65
246,AlbertaCurrent MeasuresBiomass / Geothermal2021,Current Measures,Alberta,Biomass / Geothermal,Primary Fuel,2021," 1,793.58 ",285.65
247,AlbertaGlobal Net-zeroBiomass / Geothermal2021,Global Net-zero,Alberta,Biomass / Geothermal,Primary Fuel,2021," 1,793.58 ",285.65
248,AlbertaCanada Net-zeroCoal & Coke2021,Canada Net-zero,Alberta,Coal & Coke,Primary Fuel,2021," 16,216.20 ",3337
249,AlbertaCurrent MeasuresCoal & Coke2021,Current Measures,Alberta,Coal & Coke,Primary Fuel,2021," 16,216.20 ",3337.15
250,AlbertaGlobal Net-zeroCoal & Coke2021,Global Net-zero,Alberta,Coal & Coke,Primary Fuel,2021," 16,216.20 ",3337.15
251,AlbertaCanada Net-zeroHydro / Wave / Tidal2021,Canada Net-zero,Alberta,Hydro / Wave / Tidal,Primary Fuel,2021," 2,151.07 ",894.35
252,AlbertaCurrent MeasuresHydro / Wave / Tidal2021,Current Measures,Alberta,Hydro / Wave / Tidal,Primary Fuel,2021," 2,151.07 ",894.35
253,AlbertaGlobal Net-zeroHydro / Wave / Tidal2021,Global Net-zero,Alberta,Hydro / Wave / Tidal,Primary Fuel,2021," 2,151.07 ",894.35
254,AlbertaCanada Net-zeroNatural Gas2021,Canada Net-zero,Alberta,Natural Gas,Primary Fuel,2021," 46,519.47 ",9666.48
255,AlbertaCurrent MeasuresNatural Gas2021,Current Measures,Alberta,Natural Gas,Primary Fuel,2021," 46,519.47 ",9666.48
256,AlbertaGlobal Net-zeroNatural Gas2021,Global Net-zero,Alberta,Natural Gas,Primary Fuel,2021," 46,519.47 ",9666.48
257,AlbertaCanada Net-zeroOil2021,Canada Net-zero,Alberta,Oil,Primary Fuel,2021, 15.66 ,7.15
258,AlbertaCurrent MeasuresOil2021,Current Measures,Alberta,Oil,Primary Fuel,2021, 15.66 ,7.15
259,AlbertaGlobal Net-zeroOil2021,Global Net-zero,Alberta,Oil,Primary Fuel,2021, 15.66 ,7.15
260,AlbertaCanada Net-zeroSolar2021,Canada Net-zero,Alberta,Solar,Primary Fuel,2021, 405.88 ,305
261,AlbertaCurrent MeasuresSolar2021,Current Measures,Alberta,Solar,Primary Fuel,2021, 405.88 ,305
262,AlbertaGlobal Net-zeroSolar2021,Global Net-zero,Alberta,Solar,Primary Fuel,2021, 405.88 ,305
263,AlbertaCanada Net-zeroUranium2021,Canada Net-zero,Alberta,Uranium,Primary Fuel,2021, -   ,0
264,AlbertaGlobal Net-zeroUranium2021,Global Net-zero,Alberta,Uranium,Primary Fuel,2021, -   ,0
265,AlbertaCanada Net-zeroWind2021,Canada Net-zero,Alberta,Wind,Primary Fuel,2021," 6,800.61 ",1528.56
266,AlbertaCurrent MeasuresWind2021,Current Measures,Alberta,Wind,Primary Fuel,2021," 6,800.61 ",1528.56
267,AlbertaGlobal Net-zeroWind2021,Global Net-zero,Alberta,Wind,Primary Fuel,2021," 6,800.61 ",1528.56
268,British ColumbiaCanada Net-zeroBiomass / Geothermal2021,Canada Net-zero,British Columbia,Biomass / Geothermal,Primary Fuel,2021," 4,057.95 ",979.05
269,British ColumbiaCurrent MeasuresBiomass / Geothermal2021,Current Measures,British Columbia,Biomass / Geothermal,Primary Fuel,2021," 4,057.95 ",979.05
270,British ColumbiaGlobal Net-zeroBiomass / Geothermal2021,Global Net-zero,British Columbia,Biomass / Geothermal,Primary Fuel,2021," 4,057.95 ",979.05
271,British ColumbiaCanada Net-zeroHydro / Wave / Tidal2021,Canada Net-zero,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2021," 63,800.59 ",15953.47
272,British ColumbiaCurrent MeasuresHydro / Wave / Tidal2021,Current Measures,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2021," 63,800.59 ",15953.47
273,British ColumbiaGlobal Net-zeroHydro / Wave / Tidal2021,Global Net-zero,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2021," 63,800.59 ",15953.47
274,British ColumbiaCanada Net-zeroNatural Gas2021,Canada Net-zero,British Columbia,Natural Gas,Primary Fuel,2021," 1,695.12 ",539.73
275,British ColumbiaCurrent MeasuresNatural Gas2021,Current Measures,British Columbia,Natural Gas,Primary Fuel,2021," 1,695.12 ",539.73
276,British ColumbiaGlobal Net-zeroNatural Gas2021,Global Net-zero,British Columbia,Natural Gas,Primary Fuel,2021," 1,695.12 ",539.73
277,British ColumbiaCanada Net-zeroOil2021,Canada Net-zero,British Columbia,Oil,Primary Fuel,2021, 72.37 ,36.46
278,British ColumbiaCurrent MeasuresOil2021,Current Measures,British Columbia,Oil,Primary Fuel,2021, 72.37 ,36.46
279,British ColumbiaGlobal Net-zeroOil2021,Global Net-zero,British Columbia,Oil,Primary Fuel,2021, 72.37 ,36.46
280,British ColumbiaCanada Net-zeroSolar2021,Canada Net-zero,British Columbia,Solar,Primary Fuel,2021, 29.84 ,303.281
281,British ColumbiaCurrent MeasuresSolar2021,Current Measures,British Columbia,Solar,Primary Fuel,2021, 29.84 ,303.281
282,British ColumbiaGlobal Net-zeroSolar2021,Global Net-zero,British Columbia,Solar,Primary Fuel,2021, 29.84 ,303.281
283,British ColumbiaCanada Net-zeroUranium2021,Canada Net-zero,British Columbia,Uranium,Primary Fuel,2021, -   ,0
284,British ColumbiaGlobal Net-zeroUranium2021,Global Net-zero,British Columbia,Uranium,Primary Fuel,2021, -   ,0
285,British ColumbiaCanada Net-zeroWind2021,Canada Net-zero,British Columbia,Wind,Primary Fuel,2021," 2,008.28 ",702.25
286,British ColumbiaCurrent MeasuresWind2021,Current Measures,British Columbia,Wind,Primary Fuel,2021," 2,008.28 ",702.25
287,British ColumbiaGlobal Net-zeroWind2021,Global Net-zero,British Columbia,Wind,Primary Fuel,2021," 2,008.28 ",702.25
288,ManitobaCanada Net-zeroBiomass / Geothermal2021,Canada Net-zero,Manitoba,Biomass / Geothermal,Primary Fuel,2021, 80.90 ,22
289,ManitobaCurrent MeasuresBiomass / Geothermal2021,Current Measures,Manitoba,Biomass / Geothermal,Primary Fuel,2021, 80.90 ,22
290,ManitobaGlobal Net-zeroBiomass / Geothermal2021,Global Net-zero,Manitoba,Biomass / Geothermal,Primary Fuel,2021, 80.90 ,22
291,ManitobaCanada Net-zeroHydro / Wave / Tidal2021,Canada Net-zero,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2021," 28,860.21 ",5472.69
292,ManitobaCurrent MeasuresHydro / Wave / Tidal2021,Current Measures,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2021," 28,860.21 ",5472.69
293,ManitobaGlobal Net-zeroHydro / Wave / Tidal2021,Global Net-zero,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2021," 28,860.21 ",5472.69
294,ManitobaCanada Net-zeroNatural Gas2021,Canada Net-zero,Manitoba,Natural Gas,Primary Fuel,2021, 46.30 ,402.61
295,ManitobaCurrent MeasuresNatural Gas2021,Current Measures,Manitoba,Natural Gas,Primary Fuel,2021, 46.30 ,402.61
296,ManitobaGlobal Net-zeroNatural Gas2021,Global Net-zero,Manitoba,Natural Gas,Primary Fuel,2021, 46.30 ,402.61
297,ManitobaCanada Net-zeroOil2021,Canada Net-zero,Manitoba,Oil,Primary Fuel,2021, 16.87 ,37.31
298,ManitobaCurrent MeasuresOil2021,Current Measures,Manitoba,Oil,Primary Fuel,2021, 16.87 ,37.31
299,ManitobaGlobal Net-zeroOil2021,Global Net-zero,Manitoba,Oil,Primary Fuel,2021, 16.87 ,37.31
300,ManitobaCanada Net-zeroSolar2021,Canada Net-zero,Manitoba,Solar,Primary Fuel,2021, 10.35 ,6
301,ManitobaCurrent MeasuresSolar2021,Current Measures,Manitoba,Solar,Primary Fuel,2021, 10.35 ,6
302,ManitobaGlobal Net-zeroSolar2021,Global Net-zero,Manitoba,Solar,Primary Fuel,2021, 10.35 ,6
303,ManitobaCanada Net-zeroUranium2021,Canada Net-zero,Manitoba,Uranium,Primary Fuel,2021, -   ,0
304,ManitobaGlobal Net-zeroUranium2021,Global Net-zero,Manitoba,Uranium,Primary Fuel,2021, -   ,0
305,ManitobaCanada Net-zeroWind2021,Canada Net-zero,Manitoba,Wind,Primary Fuel,2021, 948.99 ,258.65
306,ManitobaCurrent MeasuresWind2021,Current Measures,Manitoba,Wind,Primary Fuel,2021, 948.99 ,258.65
307,ManitobaGlobal Net-zeroWind2021,Global Net-zero,Manitoba,Wind,Primary Fuel,2021, 948.99 ,258.65
308,New BrunswickCanada Net-zeroBiomass / Geothermal2021,Canada Net-zero,New Brunswick,Biomass / Geothermal,Primary Fuel,2021, 587.92 ,79.2
309,New BrunswickCurrent MeasuresBiomass / Geothermal2021,Current Measures,New Brunswick,Biomass / Geothermal,Primary Fuel,2021, 587.92 ,79.2
310,New BrunswickGlobal Net-zeroBiomass / Geothermal2021,Global Net-zero,New Brunswick,Biomass / Geothermal,Primary Fuel,2021, 587.92 ,79.2
311,New BrunswickCanada Net-zeroCoal & Coke2021,Canada Net-zero,New Brunswick,Coal & Coke,Primary Fuel,2021," 1,470.46 ",541
312,New BrunswickCurrent MeasuresCoal & Coke2021,Current Measures,New Brunswick,Coal & Coke,Primary Fuel,2021," 1,470.46 ",541
313,New BrunswickGlobal Net-zeroCoal & Coke2021,Global Net-zero,New Brunswick,Coal & Coke,Primary Fuel,2021," 1,470.46 ",541
314,New BrunswickCanada Net-zeroHydro / Wave / Tidal2021,Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2021," 2,622.06 ",960.98
315,New BrunswickCurrent MeasuresHydro / Wave / Tidal2021,Current Measures,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2021," 2,622.06 ",960.98
316,New BrunswickGlobal Net-zeroHydro / Wave / Tidal2021,Global Net-zero,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2021," 2,622.06 ",960.98
317,New BrunswickCanada Net-zeroNatural Gas2021,Canada Net-zero,New Brunswick,Natural Gas,Primary Fuel,2021," 1,580.22 ",550
318,New BrunswickCurrent MeasuresNatural Gas2021,Current Measures,New Brunswick,Natural Gas,Primary Fuel,2021," 1,580.22 ",550
319,New BrunswickGlobal Net-zeroNatural Gas2021,Global Net-zero,New Brunswick,Natural Gas,Primary Fuel,2021," 1,580.22 ",550
320,New BrunswickCanada Net-zeroOil2021,Canada Net-zero,New Brunswick,Oil,Primary Fuel,2021, 40.39 ,1593.04
321,New BrunswickCurrent MeasuresOil2021,Current Measures,New Brunswick,Oil,Primary Fuel,2021, 40.39 ,1593.04
322,New BrunswickGlobal Net-zeroOil2021,Global Net-zero,New Brunswick,Oil,Primary Fuel,2021, 40.39 ,1593.04
323,New BrunswickCanada Net-zeroSolar2021,Canada Net-zero,New Brunswick,Solar,Primary Fuel,2021, 1.65 ,0.162
324,New BrunswickCurrent MeasuresSolar2021,Current Measures,New Brunswick,Solar,Primary Fuel,2021, 1.65 ,0.162
325,New BrunswickGlobal Net-zeroSolar2021,Global Net-zero,New Brunswick,Solar,Primary Fuel,2021, 1.65 ,0.162
326,New BrunswickCanada Net-zeroUranium2021,Canada Net-zero,New Brunswick,Uranium,Primary Fuel,2021," 4,613.24 ",705
327,New BrunswickCurrent MeasuresUranium2021,Current Measures,New Brunswick,Uranium,Primary Fuel,2021," 4,613.24 ",705
328,New BrunswickGlobal Net-zeroUranium2021,Global Net-zero,New Brunswick,Uranium,Primary Fuel,2021," 4,613.24 ",705
329,New BrunswickCanada Net-zeroWind2021,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2021, 710.02 ,294
330,New BrunswickCurrent MeasuresWind2021,Current Measures,New Brunswick,Wind,Primary Fuel,2021, 710.02 ,294
331,New BrunswickGlobal Net-zeroWind2021,Global Net-zero,New Brunswick,Wind,Primary Fuel,2021, 710.02 ,294
332,Newfoundland and LabradorCanada Net-zeroHydro / Wave / Tidal2021,Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2021," 40,848.06 ",7607.061
333,Newfoundland and LabradorCurrent MeasuresHydro / Wave / Tidal2021,Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2021," 40,848.06 ",7607.061
334,Newfoundland and LabradorGlobal Net-zeroHydro / Wave / Tidal2021,Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2021," 40,848.06 ",7607.061
335,Newfoundland and LabradorCanada Net-zeroNatural Gas2021,Canada Net-zero,Newfoundland and Labrador,Natural Gas,Primary Fuel,2021, 264.08 ,251.5
336,Newfoundland and LabradorCurrent MeasuresNatural Gas2021,Current Measures,Newfoundland and Labrador,Natural Gas,Primary Fuel,2021, 264.08 ,251.5
337,Newfoundland and LabradorGlobal Net-zeroNatural Gas2021,Global Net-zero,Newfoundland and Labrador,Natural Gas,Primary Fuel,2021, 264.08 ,251.5
338,Newfoundland and LabradorCanada Net-zeroOil2021,Canada Net-zero,Newfoundland and Labrador,Oil,Primary Fuel,2021, 668.53 ,769.55
339,Newfoundland and LabradorCurrent MeasuresOil2021,Current Measures,Newfoundland and Labrador,Oil,Primary Fuel,2021, 668.53 ,769.55
340,Newfoundland and LabradorGlobal Net-zeroOil2021,Global Net-zero,Newfoundland and Labrador,Oil,Primary Fuel,2021, 668.53 ,769.55
341,Newfoundland and LabradorCanada Net-zeroSolar2021,Canada Net-zero,Newfoundland and Labrador,Solar,Primary Fuel,2021, 1.17 ,0.015
342,Newfoundland and LabradorCurrent MeasuresSolar2021,Current Measures,Newfoundland and Labrador,Solar,Primary Fuel,2021, 1.17 ,0.015
343,Newfoundland and LabradorGlobal Net-zeroSolar2021,Global Net-zero,Newfoundland and Labrador,Solar,Primary Fuel,2021, 1.17 ,0.015
344,Newfoundland and LabradorCanada Net-zeroWind2021,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2021, 160.50 ,54.3
345,Newfoundland and LabradorCurrent MeasuresWind2021,Current Measures,Newfoundland and Labrador,Wind,Primary Fuel,2021, 160.50 ,54.3
346,Newfoundland and LabradorGlobal Net-zeroWind2021,Global Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2021, 160.50 ,54.3
347,Nova ScotiaCanada Net-zeroBiomass / Geothermal2021,Canada Net-zero,Nova Scotia,Biomass / Geothermal,Primary Fuel,2021, 330.05 ,112.56
348,Nova ScotiaCurrent MeasuresBiomass / Geothermal2021,Current Measures,Nova Scotia,Biomass / Geothermal,Primary Fuel,2021, 330.05 ,112.56
349,Nova ScotiaGlobal Net-zeroBiomass / Geothermal2021,Global Net-zero,Nova Scotia,Biomass / Geothermal,Primary Fuel,2021, 330.05 ,112.56
350,Nova ScotiaCanada Net-zeroCoal & Coke2021,Canada Net-zero,Nova Scotia,Coal & Coke,Primary Fuel,2021," 4,621.24 ",1133
351,Nova ScotiaCurrent MeasuresCoal & Coke2021,Current Measures,Nova Scotia,Coal & Coke,Primary Fuel,2021," 4,621.24 ",1133
352,Nova ScotiaGlobal Net-zeroCoal & Coke2021,Global Net-zero,Nova Scotia,Coal & Coke,Primary Fuel,2021," 4,621.24 ",1133
353,Nova ScotiaCanada Net-zeroHydro / Wave / Tidal2021,Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2021, 780.01 ,389.35
354,Nova ScotiaCurrent MeasuresHydro / Wave / Tidal2021,Current Measures,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2021, 780.01 ,389.35
355,Nova ScotiaGlobal Net-zeroHydro / Wave / Tidal2021,Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2021, 780.01 ,389.35
356,Nova ScotiaCanada Net-zeroNatural Gas2021,Canada Net-zero,Nova Scotia,Natural Gas,Primary Fuel,2021," 1,558.87 ",378
357,Nova ScotiaCurrent MeasuresNatural Gas2021,Current Measures,Nova Scotia,Natural Gas,Primary Fuel,2021," 1,558.87 ",378
358,Nova ScotiaGlobal Net-zeroNatural Gas2021,Global Net-zero,Nova Scotia,Natural Gas,Primary Fuel,2021," 1,558.87 ",378
359,Nova ScotiaCanada Net-zeroOil2021,Canada Net-zero,Nova Scotia,Oil,Primary Fuel,2021, 36.00 ,222.3
360,Nova ScotiaCurrent MeasuresOil2021,Current Measures,Nova Scotia,Oil,Primary Fuel,2021, 36.00 ,222.3
361,Nova ScotiaGlobal Net-zeroOil2021,Global Net-zero,Nova Scotia,Oil,Primary Fuel,2021, 36.00 ,222.3
362,Nova ScotiaCanada Net-zeroSolar2021,Canada Net-zero,Nova Scotia,Solar,Primary Fuel,2021, 1.87 ,0.365
363,Nova ScotiaCurrent MeasuresSolar2021,Current Measures,Nova Scotia,Solar,Primary Fuel,2021, 1.87 ,0.365
364,Nova ScotiaGlobal Net-zeroSolar2021,Global Net-zero,Nova Scotia,Solar,Primary Fuel,2021, 1.87 ,0.365
365,Nova ScotiaCanada Net-zeroWind2021,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2021," 1,137.45 ",603.18
366,Nova ScotiaCurrent MeasuresWind2021,Current Measures,Nova Scotia,Wind,Primary Fuel,2021," 1,137.45 ",603.18
367,Nova ScotiaGlobal Net-zeroWind2021,Global Net-zero,Nova Scotia,Wind,Primary Fuel,2021," 1,137.45 ",603.18
368,Northwest TerritoriesCanada Net-zeroHydro / Wave / Tidal2021,Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2021, 247.37 ,55.48
369,Northwest TerritoriesCurrent MeasuresHydro / Wave / Tidal2021,Current Measures,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2021, 247.37 ,55.48
370,Northwest TerritoriesGlobal Net-zeroHydro / Wave / Tidal2021,Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2021, 247.37 ,55.48
371,Northwest TerritoriesCanada Net-zeroNatural Gas2021,Canada Net-zero,Northwest Territories,Natural Gas,Primary Fuel,2021, 86.90 ,7.8
